# genre sanitation list via database dump 04/10/2019
# we should only need to include the exceptions, but
# for coverage a full list is developed here
# for safety values pass-thru if not defined here

Mn|Minimal
Modern Classical|Modern Classical
Moog|Moog
Motorik|Motorik;Krautrock
Musique Concrete|Musique Concrete
Neo-Classical|Neo-Classical
Neo-classical|Neo-Classical
Neo Classical|Neo-Classical
Neoclassical|Neo-Classical
Neofolk|Neo-Folk
New Age|New Age
New Beat|New Beat
New Romantic|New Romantic
New Wave|New Wave
New-Wave|New Wave
New Wave / New Romantic|New Wave;New Romantic
New Wave; Synth-pop|New Wave;Synth-pop
No-Wave|No-Wave
Noise|Noise
Noise Rock|Noise Rock
Noisepop|Noise Pop
Non-Music|Non-Music
Northern Soul|Northern Soul
Nu Disco|Nu-Disco
Nu Metal|Nu-Metal
NuDisco|Nu-Disco
Oi|Oi
Opera|Opera
Orchestral Pop|Orchestral Pop
Orchestral Techno|Orchestral Techno
OST|Stage & Screen;Score;Soundtrack
Pop|Pop
Pop Alternative|Pop;Alternative
Pop Punk|Pop Punk
Pop Rap|Pop Rap
Pop Rock|Pop Rock
Pop/Rock|Pop/Rock
Pop-Rock|Pop Rock
Pop Soul|Pop Soul
Post Bop|Post Bop
Post-Dubstep|Post Dubstep
Post Punk|Post-Punk
Post-Punk|Post-Punk
POST-PUNK|Post-Punk
Post-punk|Post-Punk
Post Rock|Post-Rock
Post-Rock|Post-Rock
Post-rock|Post-Rock
Power Electronics|Power Electronics
Power Pop|Power Pop
Prog Rock|Prog Rock;Prog-Rock;Progressive Rock;Progressive
Prog-Rock|Prog Rock;Prog-Rock;Progressive Rock;Progressive
Progressive Rock|Prog Rock;Prog-Rock;Progressive Rock;Progressive
Progressive Electronic|Progressive Electronic
Progressive House|Progressive House
Progressive Trance|Progressive Trance
Proto-Punk|Proto-Punk
Psy-Trance|Psy-Trance
Psychadelic|Psychedelic;Psychedelia
Psychedelia|Psychedelic;Psychedelia
Psychedelic|Psychedelic;Psychedelia
Psychedelic Punk|Psychedelic Punk
Psychedelic Rock|Psychedelic Rock
Psychobilly|Psychobilly
Pub Rock|Pub Rock
Punk|Punk
PUNK|Punk
Punk Pop|Punk Pop
Punk Rock|Punk-Rock
Punk-Rock|Punk-Rock
R&B|R&B
Ragga|Ragga
Rap|Rap
Rap & Hip Hop|Rap;Hip Hop;Hip-Hop
Rap & Hip-Hop|Rap;Hip Hop;Hip-Hop
Rave|Rave
Regenerative Synthesis|Regenerative Synthesis
Reggae|Reggae
Reggae Dub|Reggae;Dub;Dub Reggae
